title,link,creator,pubdate,category,description,source,scrape_timestamp
"Kim Jong-Un Calls for ""Nuclearization"" of North Korea's Navy",https://maritime-executive.com/article/kim-jong-un-calls-for-nuclearization-of-north-korea-s-navy,,21/08/2025 06:12:14,,"North Korean supreme leader Kim Jong-un has taken a personal interest in his navy's new destroyer program, attending launches and observing weapons trials. He used the occasion of his latest onboard visit to call for ""rapid expansion of nuclearization"" of the country's armed forces, including its naval fleet. During a tour of first-in-class destroyer Choe Hyon on August 18, Kim called ongoing drills by U.S. and South Korean forces a threat to North Korea's security, and claimed that ""the security environment around the DPRK is getting more serious day by day."" He called for doubling down on Pyongyang's nuclear-centric defense strategy, including a transformation of the country's aging naval fleet to make it ""high-tech and nuclear-armed."" ""The Navy will become a reliable force firmly performing a part in the composition of the state nuclear forces and the realm of nuclear use in the near future,"" Kim said in comments paraphrased by state news agencies. Stressing speed, Kim called for the armed forces to ""extremely rapidly develop the capabilities for operations of our Navy."" The new ""destroyers"" are frigate-sized at about 5,000 tonnes, but are heavily armed. They carry a combined 74 VLS cells of various sizes, including large cells for possible ballistic missile armament, plus angle-launch cruise missile racks and (analysts believe) a Pantsir-ME short range air defense system. In form, they appear to be a stretched variant of Russia's Admiral Grigorovich-class frigate, according to Janes analyst Mike Plunkett. If North Korea's claims are correct, the first two hulls were built in just over a year's time, a pace unmatched by advanced shipbuilding nations. The rushed timeline has prompted questions about whether the vessels were even fitted with engines; first-in-class Choe Hyon has not been seen making way under its own power, and appears to be riding unusually high in the water. The vessels are few in number and readily tracked, and Western analysts have questioned their survivability and deterrence value as nuclear launch platforms; but their military capabilities may be secondary to their propaganda mission, according to Khang Vu, a defense scholar at Boston College. ""Big and modern warships confer national leaders with a great sense of achievement. The North Korean chairman will soon enter his 15th year in the top job, and leaving a legacy that can rival those of his father and grandfather is highly important,"" Vu wrote for the Lowy Interpreter. ""Turning the navy from a coastal to a blue-water force was a task neither his father nor grandfather could accomplish. He is using the launch of the destroyers – successful or not – to demonstrate his regime’s ability to innovate and to correct its mistakes."" The second hull in the series is under repair after a failed side-launch sequence, and the third hull is under construction. Nampho Shipyard's workforce has pledged to deliver the third vessel in just 14 months, according to North Korean state media.",Maritime Executive,23/08/2025 14:06:58
Helsinki Shipyard Cuts Steel for Canada's Next Polar Icebreaker,https://maritime-executive.com/article/helsinki-shipyard-cuts-steel-on-canada-s-next-polar-icebreaker,,21/08/2025 04:59:22,,"Chantier Davie's Helsinki Shipyard has cut steel for the Canadian Coast Guard's next polar icebreaker, the future CCGS Imnaryuaq. It is the second of the two different heavy icebreakers that the Canadian government has ordered under the National Shipbuilding Strategy. Heavy icebreakers are unique and challenging vessels, requiring extra-thick hulls, special steel and heavy internal framing to brace the ship against ice pressure. Most icebreakers are built in Finland, and few other nations maintain an industrial base for icebreaker construction. To compete for Canada's business, Chantier Davie bought Helsinki Shipyard from its previous Russian owners, acquiring an experienced Finnish workforce along with tooling and yard capacity. It may not be located in Canada, but Helsinki can build the hull right away, and Chantier Davie can complete fitting-out at its yard in Quebec. ""With construction now underway on the Polar Max icebreaker, the project will progress while developing the skills and expertise of Canadian workers,"" said Canadian secretary of state for defense procurement Stephen Fuhr. ""This international collaboration provides our workers with the opportunity to learn best practices and advanced methods that will strengthen Canada’s shipbuilding industry for years to come."" The Helsinki Shipyard / Davie hull is scheduled for delivery in 2030. The other polar-class hull on order under the NSS, Seaspan's polar icebreaker, has been delayed to make room for other government shipbuilding priorities. Canada's government began initial design work on the project in 2012, and Seaspan cut first steel earlier this year. It is scheduled to deliver in 2032, two years after Davie's Finnish/Canadian hull. Canada's heavy icebreaker procurement program is an expensive venture. By comparison, the latest independent estimate for the U.S. Coast Guard's heavy icebreaker program puts the all-in unit cost at about US$1.7 billion per hull, about 175 percent over the original contract price agreed by Halter Marine. The Canadian orders cost far more: not including future overruns, Chantier Davie's one-ship program cost US$2.3 billion, and Seaspan's one-ship program cost a combined US$3 billion. Canada's parliamentary budget office estimates that the all-in procurement cost will be just over US$6 billion for the two hulls.",Maritime Executive,23/08/2025 14:06:58
Hurricane Erin Creates Risk for Shipping off U.S. East Coast,https://maritime-executive.com/article/hurricane-erin-creates-risk-for-shipping-off-u-s-east-coast,,21/08/2025 03:50:54,,"The outer bands of Hurricane Erin have reached the coastal waters of the mid-Atlantic states, bringing risks to shipping and to the general public in beachfront communities. Erin became a Category 1 hurricane last week, and rapidly intensified into a Category 5 storm overnight Friday. In jumping from wind speeds of 75 mph to 160 mph in about 24 hours, Erin became one of the fastest-intensifying hurricanes in history. After undergoing an eyewall replacement Sunday, the storm weakened, but its horizontal extent broadened. It is producing waves of about 50 feet high near the center of the storm, and wave heights of 12 feet or more extend 400 nautical miles from the center - a ""very large area of extremely large and hazardous seas,"" according to the National Hurricane Center. Satellite AIS data shows that shipping interests are giving it a wide berth. Wind and wave height forecast for August 20 (NHC TAFB) Shipping traffic off U.S. East Coast, August 20 (Pole Star) The forecast track is expected to keep Erin's high winds far offshore, but storm surge, wave action, rip currents and heavy rains are expected. State and local officials along the eastern seaboard are encouraging the public to stay out of the water until after the hurricane has passed by, and the Coast Guard is repositioning assets to be in place for response needs. Wave and water hazards pose the greatest threat. Storm surge levels in parts of North Carolina could reach two to four feet, creating a risk of coastal flooding. Residents of North Carolina's Outer Banks could end up cut off for days due to inundation of Highway 12, the tenuous road link that connects the barrier island communities. Hatteras and Ocracoke are under evacuation orders, not because of any imminent hazard, but because they may soon become unreachable for first responders. An estimated 2,000 people departed by Wednesday morning. As the storm heads further north, authorities are taking precautionary measures. Public beaches in New Jersey, Delaware and the outer boroughs of New York City are closing down in advance due to the risk of rip currents. Two more tropical systems are in line behind Erin, and NHC is tracking their development. The peak of the Atlantic hurricane season is approaching, and forecasters expect more activity still to come.",Maritime Executive,23/08/2025 14:06:58
"CMB.TECH Completes Merger of Golden Ocean, Creating 250 Ship Fleet",https://maritime-executive.com/article/merger-of-golden-ocean-into-cmb-tech-approved-and-set-to-close,,21/08/2025 01:10:35,,"After the shareholders of Golden Ocean Group officially ratified the proposed merger, CMB.TECH completed the merger, assuming the operations of the dry bulk carrier into its fleet. The resulting company is an industry giant that further diversifies CMB.TECH’s overall fleet and setting the stage as it continues to push forward with a strategy tied to the energy transformation of the shipping industry. Golden Ocean confirmed that August 19 was the last day of trading for its stock in the United States on NASDAQ and the Euronext Oslo Børs. Under the terms of the merger agreement, each outstanding common share of Golden Ocean was exchanged for nearly 96 million newly issued CMB.TECH ordinary shares at an exchange ratio of 0.95 ordinary shares of CMB.TECH for each common share of Golden Ocean. CMB.TECH also launched a listing on the Euronext Oslo Børs, as well as continuing to trade on the New York Stock Exchange and Euronext Brussels. “Today, we are delighted to close the merger between CMB.TECH and Golden Ocean,” said Alexander Saverys, CEO of CMB.TECH. “In less than 18 months, we have transformed a pure play crude oil tanker company into a large and leading diversified and future-proof maritime group.” Plans for the merger were announced in April with Saverys calling the transaction “another great step forward” in building a diversified maritime group. CMB.TECH, which was formed by the 2024 takeover of Euronav, owns and operates more than 160 seagoing vessels in the crude oil tankers, dry bulk, containership, chemical tanker, offshore wind, and workboat sectors. CMB.TECH’s dry bulk fleet before the merger included 28 Newcastlemax vessels as well as two smaller coasters operating under the Bocimar brand. Saverys said in April, explaining the rationale for the merger, “The value of our fleet would reach more than $11 billion and, combined with our public listings and enhanced liquidity in our shares, we will have all the necessary firepower to continue to invest in our fleet and seize opportunities. Our focus on decarbonization is starting to generate meaningful long-term contracts, and the recent IMO decisions on limiting greenhouse gas emissions from shipping give us even more wind (and ammonia) in our sails.” The combined fleet numbers approximately 250 vessels with Saverys an average age of vessel of just over six years. Dry bulk becomes the largest portion of the group’s operations. The transaction in effect brings Golden Ocean and the bulker fleet full circle 20 years after the company emerged as an independent operator. Originally part of Frontline, Golden Ocean was spun off in 2005 to create a pureplay bulker company separate from Frontline’s tanker operations. The company grew to a leading position in the dry bulk. The Golden Ocean fleet consisted of 89 dry bulk vessels, with an aggregate capacity of approximately 13.5 million deadweight tonnes. The ships are now being reflected as part of CMB.TECH’s Bocimar brand with a combined fleet of 119 ships. Analysts have speculated that a portion of the dry bulk fleet might be sold now that the merger is completed.",Maritime Executive,23/08/2025 14:06:58
New Video Shows Rare Drone-on-Drone Boat Collision off California,https://maritime-executive.com/article/new-video-shows-rare-drone-on-drone-boat-collision-off-california,,21/08/2025 00:42:34,,"Reuters has released video footage of a collision between two cutting-edge drone boats off the coast of California last month. The incident appears to be the first high profile case of an accidental drone-on-drone vessel casualty. The brief clip comes from a trial exercise involving multiple unmanned systems. The footage shows an immobile gray drone adrift, and a black drone approaching from starboard at high speed. The black drone hit a wave, rode up out of the water, struck and rode over the foredeck of the immobile drone, and appeared to continue on its course. Reuters reports that prior to impact, the gray drone had stopped moving unexpectedly, and that Navy operators were attempting to diagnose a software issue with it when the black drone hit it. The outlet identified the drones involved as models produced by Saronic and BlackSea Technologies. By visual identification, the drifting drone appears to be a Saronic Corsair, and the drone that hit it appears to be a BlackSea Technologies GARC. Both firms have been contacted for confirmation. It was the second such incident in two months. On June 23, a BlackSea boat that was under tow accelerated unexpectedly after a human participant sent ""an inadvertent command that turned the engine on."" It hit a support boat, capsizing the vessel and tossing the skipper into the water. The skipper was unhurt. The GARC is a widely fielded unmanned boat designed for high speed operation in combat. It is in full production and more than 100 units have been delivered. With a 1,000-pound payload, its mission sets include ISR, strike, survey work and interdiction. It supports both autonomous and remote-control operation. Human-induced collisions occur regularly, but the unmanned incidents have attracted extra attention. Reuters reports that they are part of a string of setbacks that have prompted Pentagon leaders to question the success of Naval Sea Systems Command's Program Executive Office Unmanned and Small Combatants (PEO USC). The NAVSEA division is home of the troubled Constellation-class frigate program, the scaled-back Littoral Combat Ship program, and the Navy's various unmanned-ship initiatives, like the newly-announced Modular Attack Surface Craft (MASC) program. PEO USC chief Rear Adm. Kevin Smith was removed from command of the division in May. The reported shakeup at PEO USC comes as the Navy prepares to deploy more funding than ever for unmanned vessel acquisition. The One Big Beautiful Bill Act allocated $1.5 billion for small USVs, $2.1 billion for medium USVs, $188 million for unmanned vessel R&D, and $174 million for an autonomy test center.",Maritime Executive,23/08/2025 14:06:58
UK Funds Project to Combine Carbon and Emission Capture in Southampton,https://maritime-executive.com/article/uk-funds-project-to-combine-carbon-and-emission-capture-in-southampton,,21/08/2025 00:39:18,,"The UK is supporting the next step in emission capture systems that can be deployed in ports as a cost-effective means of reducing emissions. The new project will combine the emissions capture capabilities of STAX Engineering with the carbon capture technology of Seabound. The project, which also involves Associated British Ports, is receiving an award of £1.1 million ($1.48 million) as a grant under the UK Government’s Clean Maritime Demonstration Competition. They were selected as one of the recipients in the recently completed Round 6 of the competition. “This project is a breakthrough moment for ports and for the maritime decarbonization landscape,” said Stylianos Papageorgiou, Managing Director of lomarlabs, a maritime venture lab which is also supporting Seabound’s expansion. “By integrating carbon and emissions capture in a scalable, barge-based system, we’re unlocking a practical path to cleaner port operations without retrofitting ships.” The new project will be the first opportunity to integrate the two technologies and deploy them at the Port of Southampton. The companies had previously announced their plan to deploy three emission capture barges in collaboration with ABP, and will now expand the effort with the integration of carbon capture technology. STAX launched its operation in California and won the recognition of the California Air Resources Board as the state moved to stop in-port emissions from docked vessels. STAX’s uses barges that are placed alongside the ship and cap the funnel, capturing emissions. It removes up to 99 percent of particulate matter and 95 percent of nitrogen oxides. Seabound’s modular carbon capture units, sized to match standard 20-foot containers, will be integrated onto STAX’s barge-based emissions capture and control system. The purified gas coming from the STAX system will then flow into Seabound’s compact capture unit, which isolates and stores up to 95 percent of carbon dioxide and 98 percent of sulfur (SO?), before releasing cleaned exhaust. The project positions Southampton as the first UK port to host a fully-integrated solution that captures both CO2 emissions and criteria pollutants, including sulfur oxides (SO?) and nitrogen oxides (NO?), while ships are docked. The companies assert that the solution provides maritime operators with an immediate, practical path to meet tightening environmental regulations and decarbonization requirements without requiring vessels or ports to undergo retrofits and costly structural changes. ABP, as the largest port operator in the UK, is supporting efforts to advance the new technologies. In 2024, the company launched its Energy Ventures Accelerator program to aid a variety of early-stage clean energy innovators. In addition to providing support to STAX and Seabound, other initiatives supported by the accelerator include the UK’s first investment in shore power facilities at scale being developed for the Port of Southampton. For Seabound, this is its second award from the UK Clean Maritime Demonstration Competition. It received support in Round 3 for the demonstration of its carbon capture technology on an in-service vessel. Working with Lomar Shipping and lomarlabs, they demonstrated the system on the Sounion Trader, achieving 78 percent CO2 capture efficiency and over 90 percent SO2 removal. Lomar Shipping plans to deploy its carbon capture solution across the company’s fleet.",Maritime Executive,23/08/2025 14:06:58
HD Hyundai Buys Manufacturer as it Seeks Expansion in Vietnam Shipbuilding,https://maritime-executive.com/article/hd-hyundai-buys-manufacturer-as-it-seeks-expansion-in-vietnam-shipbuilding,,20/08/2025 23:45:30,,"South Korea’s HD Hyundai is continuing to pursue opportunities to grow its shipbuilding business and increase its competitive position against the Chinese. It is acquiring a Vietnamese manufacturing business for components, including tanks and cranes, while also moving to expand its Vietnamese shipbuilding and being linked to other international deals. HD Korea Shipbuilding and Offshore Engineering has agreed to acquire Doosan Vina from Doosan Enerbility, a Vietnamese offshoot of the Korean industrial company Doosan. HD KSOE will pay $207 million for full ownership of the Doosan Vina business, which was established in 2006. The industrial manufacturer is located south of Da Nang in central Vietnam. Doosan Vina is a manufacturer of tanks and other components for LNG plants as well as port cranes, thermal power plant boilers, and other industrial components. HD KSOE highlights the growing need for tanks that can be used with LNG and other gas carriers, as well as the next generation of eco-friendly shipping. The acquisition comes as the company is also expanding its shipbuilding capacity in Vietnam. Its Vietnamese operations were launched as a joint venture in 1996, focused on ship repair and conversion. It completed work on over 900 ships and, starting in 2008, entered into shipbuilding. Since 2011, the operations have been totally focused on shipbuilding, with the yard mostly delivering product/chemical tankers and bulkers. Last year, HD Hyundai announced plans to expand its shipbuilding operations in Vietnam. It has a capacity to build 12 vessels a year, which it said would be increased to 15 ships per year. It is working to improve the efficiency of the shipbuilding operation. It also said it would review the possibility of expanding the capacity in Vietnam to 23 ships per year by 2030. Elsewhere in its international operations, HD Hyundai is in the process of restarting the former Hanjin shipbuilding operation at Subic Bay in the Philippines. Product work will resume by the start of next year, with the Philippine yard ramping up to a capacity of 10 ships per year. The company has also been linked to a bid for a developmental shipyard in Morocco, and it recently signed partnership agreements in the United States and India. Already the largest shipbuilder in South Korea, HD Hyundai’s shipbuilding group is focused on eco-friendly future ships and is also looking to develop new capacity and capabilities to keep up with demand and competition. The Korean shipyards have lost business in recent years to the Chinese shipbuilders, who pose strong price competition.",Maritime Executive,23/08/2025 14:06:58
Salvors Refloat Tour Vessel That Was Caught By High Waves off Honolulu,https://maritime-executive.com/article/salvors-refloat-tour-vessel-that-was-caught-by-high-waves-off-honolulu,,20/08/2025 22:16:52,,"Salvors have refloated and removed the tour vessel that was pushed off course by heavy wave action near Kewalo Basin, Honolulu earlier this month. On the morning of August 9, the 75-foot passenger vessel Discovery was inbound for the Kewalo Basin, a small-craft harbor in Honolulu. High waves of 10-12 feet were rolling towards the beach, and a high surf advisory was in effect. In these conditions, Discovery's master attempted to make a run through the narrow channel into the harbor. As the boat approached the channel entrance, it was overtaken by a wave. The vessel then veered sharply to starboard, broadside to the wave. Luckily Discovery was large and stable enough that it did not capsize, but the boat was disabled by impact and drifted aground on a nearby reef. The #USCG is monitoring an aground passenger vessel, the Discovery, approximately 60 feet outside Kewalo Basin Harbor with 2 people on board. The captain plans to refloat at high tide; no pollution has been reported. #hawaii pic.twitter.com/b0xojhoSvw Initial efforts to refloat Discovery were unsuccessful, but the boat had drifted up next to a seawall, and it was secured for easy access for pollution abatement crews. Oil and diesel were pumped off swiftly, reducing risk while awaiting a salvor. On August 19, a contractor working with the Coast Guard and the State of Hawaii's Division of Conservation and Resources conducted a careful refloat and removal operation. During the run-up, dive teams from the division explored the reef and determined a route that was least likely to result in harm to the coral. Larger coral colonies were documented and their coordinates were passed on to the salvor. “What we found so far is mostly damage to live rock with a couple of coral colonies that had some fragments,” said DAR Aquatic Biologist Jake Reichert in a statement. “For the removal we tried to give them a corridor that had the least amount of coral.” Now that the removal is complete, the division's biologists will conduct further assessments of the reef to evaluate any damage from the grounding and the refloat.",Maritime Executive,23/08/2025 14:06:58
New Law Paves the Way for Abandoned Vessel Removal in Charleston,https://maritime-executive.com/article/new-law-paves-the-way-for-abandoned-vessel-removal-in-charleston,,20/08/2025 21:29:13,,"A contractor working for the South Carolina Department of Natural Resources has extracted a former U.S. Navy torpedo recovery vessel from a marsh outside of Charleston, South Carolina, the first boat recovered under the state's new statute on vessel abandonment. Four years ago, private citizen Mohamad ""Sam"" Kodaimati bought the torpedo retriever TWR-841 from a surplus auction, paying a total of $86,000 for the disused 120-foot vessel. TWR-841 was purpose-built for the needs of torpedo R&D at Naval UnderSea Warfare Center Newport in 1986, one of a series of 10, and was decommissioned in 2019. The vessel had useful attributes for a general-purpose coastal survey or research boat - CTD sensors, twin Cat 3512 engines, a stern U-frame, a deck winch with 5,000 feet of wire, a knuckle crane, berthing for 10 scientists or techs, and a max science payload of 17 tonnes. Kodaimati renamed TWR-841 as the Hazar and got under way to relocate the vessel. Hazar was boarded in New York on June 24, 2021 and cited for hazardous conditions and unsafe operation. The citation was lifted, and Hazar arrived in Charleston, South Carolina the following month. On July 16, 2021, the Charleston Captain of the Port ordered Kodaimati not to operate Hazar any further because the vessel lacked appropriate federal documentation. That order was never fully resolved, and Hazar remained in the backwaters of Bohicket Creek, southwest of Charleston. Over the years, Hazar took on water and settled to the bottom at her anchorage. The Coast Guard pumped off the boat's tanks to remove oily water and minimize environmental harm, but the vessel remained. Residents complained to state and local officials about the environmental hazards and unsightliness of the wreck, and petitioned for its removal. The state obliged: Earlier this year, South Carolina's legislature passed a new, stringent law to impose penalties for abandonment and create state procedures for removing derelict vessels, paving the way for a refloat operation. This week, Stevens Towing Company mobilized to the wreck site and began preparations to remove Hazar under contract to the South Carolina Department of Natural Resources. The wreck was pumped out, refloated and extracted from the mud on the bank of the creek. A tug relocated the vessel to a nearby boat yard for disposal; it is as yet undetermined whether the Hazar will be reefed or cut up for scrap. The new law also provided for Kodaimati's arrest. He was detained in July and charged with two counts of abandoning a watercraft; if convicted of these misdemeanor charges, he faces potential fines in the five figures, plus restitution for the state's removal costs, which were in excess of $200,000.",Maritime Executive,23/08/2025 14:06:58
Video: Fire Aboard USS New Orleans is Extinguished with Japanese Assistance,https://maritime-executive.com/article/video-fire-aboard-uss-new-orleans-is-contained-with-japanese-assistance,,20/08/2025 20:47:52,,"The U.S. 7th Fleet reported as of 0400 Thursday morning Japan time that a fire aboard the amphibious transport vessel USS New Orleans had finally been extinguished. Earlier they had reported the fire was contained, but they had twice requested the assistance of Japanese forces to fight the fire aboard the vessel, which is currently anchored off Okinawa. The U.S. Navy has released few details only reporting that the cause of the fire is currently under investigation. Two sailors were reportedly taken to the New Orleans’ medical facilities for minor injuries, but the vessel is stable with no reports of pollution. The plan calls for the crew to remain aboard the ship, which according to media reports did not have a detachment of Marines aboard when the fire began. The Japanese media is reporting that the ship, which was commissioned in 2007, has been anchored off Okinawa for the past few days. It is assigned to the 7th Fleet and has been based in Sasebo, Japan, since 2019. The ship is 24,400 tons displacement and 684 feet (208 meters) in length with a maximum capacity of approximately 800 Marines. Footage shows Japanese Coast Guard ships battling a fire on the USS New Orleans (LPD-18) off Okinawa. pic.twitter.com/n0FBTtwjVo The fire appears to have begun in the forward part of the vessel around 4:00 p.m. local time on August 20. Spectators reported seeing smoke coming intermittently from the forward part of the vessel or midship. Video on Japanese TV showed tugs near the forward part of the ship spraying water on the hull. The fire was reported to the Japan Coast Guard, which sent a patrol boat to determine the extent of the situation. Around 5:00 p.m. local time, the Coast Guard reports it received a request for assistance from the U.S. Navy. However, that first call was withdrawn within the hour, and the U.S. Navy was instructing vessels to stay about one mile away. The request for assistance from the Japanese was reinstated around 7:30 p.m. local time. The Navy reports that the crew of a sister ship from the San Antonio-class amphibious transport dock class, USS San Diego, which was moored at White Beach Naval Facility, assisted in fighting the fire. The Japan Self-Defense Force reported its vessels were conducting firefighting efforts to aid the crew of the USS New Orleans. The Japan Coast Guard was providing assistance. As the fire progressed, they employed a total of four tugs with two on each side of the warship to cool the full. The US 7th Fleet command thanked the Japanese for their aid. The reports emphasized that there have been no requests to evacuate any of the U.S. personnel from the vessel. A spokesperson for the 7th Fleet said additional information would be provided as it becomes available.",Maritime Executive,23/08/2025 14:06:58
Chicago Propeller Club Hears Industry Cry from MARAD Acting Administrator,https://maritime-executive.com/article/chicago-propeller-club-hears-industry-cry-from-marad-acting-administrator,,20/08/2025 20:10:46,,"[By: Chicago Propeller Club] The United States has entered a new era of maritime strength, the head of the Maritime Administration told the Chicago Propeller Club’s flagship summer event at Chicago Yacht Club. In a speech to guests including all the Great Lakes Port Directors, Acting Administrator Sang Yi said America will invest in four keys areas – people, ships, cargo, and ports. “This is a pivotal time. We are in a new era thanks to President Trump bringing back U.S. maritime power stronger than ever. It is time to make your voice heard. For too long our U.S. maritime industry has been ignored. Yet the maritime industry is vital for our economic strength and national security. We are going to work hard every day to make it stronger. We are going to help build the best maritime workforce in the world. We are going to boost demand for U.S. shipping. And we are going to invest in our ports.” The audience of more than 100 senior figures from ports, shipping, logistics, marine services and infrastructure sectors warmly applauded Acting Administrator Yi’s speech. The reception, sponsored by J.D. Fields, a national leader in steel products and infrastructure solutions, provided a welcome opportunity for networking with key figures in the maritime industry on the eve of the American Great Lakes Ports Association annual conference in Chicago. Chris Carr, president of the Chicago Propeller Club, encouraged guests to continue to back the club after it was named International Port of the Year in 2024 after rechartering following a 16 year hiatus: “We really appreciate the great turnout from membership and ports leadership.” Chicago Propeller Club vice president Ben Pinnington welcomed the AGLPA conference to Chicago for a third year: “The AGLPA conference is important because under the new administration maritime has its highest profile arguably since World War II. It is vital that the Great Lakes and Midwest projects its maritime prowess to the USA to attract investment.” Deb Deluca, recently retired executive director of the Duluth Seaway Port Authority, received a special award in recognition of her achievements from AGLPA executive director Brian Oszakiewski and Port of Monroe executive director Paul La Marre. And she called on everyone present to combine their efforts and make the voice of the maritime industry stronger in Washington DC. “Working together our potential is so much greater and it will strengthen our voice in Washington,” she urged. Jackie Carter the Port of Milwaukee director was also honored on the evening as she moves to a new role with the City of Milwaukee. In a look to the future, Jack Dougherty, co-founder and owner of autonomous shipping company Janus Marine and Defense underscored the need for the maritime industry to embrace new technologies, stay ahead of the competition, increase operational efficiency and job safety, and boost national security. In addition, veteran led Chicago charity No Salt Sailing made an appeal for support. The charity helps veterans and their families cope with PTSD by learning to sail on the Great Lakes.",Maritime Executive,23/08/2025 14:06:58
Bahri Leads Saudi Arabia's Maritime Growth in Line with Saudi Vision 2030,https://maritime-executive.com/article/bahri-leads-saudi-arabia-s-maritime-growth-in-line-with-saudi-vision-2030,,20/08/2025 20:02:57,,"[By: Bahri] Bahri, the National Shipping Company of Saudi Arabia and a global leader in logistics and shipping, continues to drive the Kingdom's emergence as a global maritime powerhouse in 2025, playing a pivotal role in realizing Saudi Vision 2030's ambitious goals to transform the nation into a strategic maritime logistics hub. As a Founding Strategic Partner of Saudi Maritime Logistics Congress, Bahri will be an integral part of the event’s sixth edition taking place in Dhahran Expo, Dammam from 1-2 October 2025. As the Kingdom's premier shipping and logistics company, Bahri has embarked on an aggressive expansion and modernization strategy that directly supports Saudi Arabia's vision to diversify its economy beyond oil and establish itself as a global maritime cluster. The company's strategic initiatives align perfectly with Saudi Vision 2030's objective of positioning Saudi Arabia as a crucial nexus in global trade networks. “Saudi Maritime Logistics Congress is the leading platform to showcase Bahri’s efforts to transform the maritime industry as a global logistics and transportation leader,"" said Eng. Ahmed Alsubaey, CEO of Bahri. ""Our strategy is sharply focused on capitalizing on new growth opportunities by deepening our presence in current markets and expanding into new ones, leveraging Bahri's unmatched human resources and technical capabilities combined with our strong passion for pioneering innovation. We look forward to sharing our vision and meeting with global maritime and logistics leaders during this innovative conference and exhibition” he added. Bahri's commitment to excellence is evidenced by its recent significant investments in fleet expansion. In August 2024, the company secured a landmark $1 billion deal to acquire nine Very Large Crude-oil Carriers (VLCCs) from Capital Marine and Trading Cooperation, reinforcing its position as one of the largest VLCC operators worldwide. This acquisition was part of a broader fleet modernization initiative that sees Bahri operate an impressive fleet of 103 owned vessels, and three floating desalination barges. Bahri's strategic vision extends beyond fleet expansion to include the development of a comprehensive maritime ecosystem within Saudi Arabia. The company has formed strategic partnerships with key national entities to strengthen the Kingdom's maritime capabilities including: a strategic Letter of Intent with Saudi Arabian Mining Company (Ma'aden) to explore collaboration opportunities for localizing maritime industries and developing resilient supply chains; partnership with the Saudi Logistics Academy to enhance employment opportunities and skills development in the maritime logistics sector, and expansion of Bahri Ship Management's service portfolio to provide technical ship management and crewing services to other maritime operators. As Saudi Arabia continues its journey toward becoming a global maritime cluster under Vision 2030, Bahri stands at the helm, navigating the Kingdom toward a prosperous and sustainable maritime future on the world stage. This year’s Saudi Maritime Logistics Congress is organised by Seatrade Maritime, part of Informa Markets and with Founding Strategic Partner, Bahri, alongside Main Partners, Mawani, and TGA. According to Chris Morley, Group Director, Seatrade Maritime, “The maritime industry represents a crucial component of Saudi Arabia's ""blue economy"" strategy, which recognizes the potential for significant returns on maritime investments as part of the broader economic transformation agenda. Our objective is to showcase the phenomenal opportunities available through collaborations with both national and international companies, as well as deep dive into the multiple ongoing projects. The conference agenda will spotlight investment, innovation and sustainability amongst other key topics and bring together over 100 regional and international experts.” “Our ultimate aim is to facilitate fruitful cooperation between the public and private sector entities that catalyses growth for our industry.” Morley concluded. The two-day event includes both an international exhibition and a detailed conference programme spread across two stages with multiple free-to-attend sessions. The sixth edition in the annual cycle follows on from a record-breaking 2024 which saw more than 10,000 visitors converge on Dhahran Expo to do business and gain up-to-date knowledge from industry specialists.",Maritime Executive,23/08/2025 14:06:58
External Fire Teams Reach Marie Maersk Off Africa,https://maritime-executive.com/article/external-fire-teams-reach-marie-maersk-off-africa,,20/08/2025 19:32:50,,"The container fire that started a week ago aboard the Marie Maersk is continuing to burn, according to the latest update from the company. Additional resources have been brought to the vessel, which is holding off the coast of Africa, and they believe the fire is contained while plans are being developed for the ship. The crew reported smoke coming from containers on the morning of August 13 as the vessel was sailing from Rotterdam bound for Malaysia and China. At the time, they said the vessel was moved toward the coast near Liberia so that shoreside resources could aid the crew. Tugs and an OSV arrived, bringing firefighting equipment to the vessel, and over the weekend, Maersk said the crew had been successful in stopping the spread of the fire. “The external firefighter crew is on board Marie Maersk since yesterday (Tuesday) and actively fighting the fire alongside the Marie Maersk crew,” Maersk said in its latest update. “As reported, the fire has been contained but not suppressed completely, and a port of refuge is also still under contemplation.” Maersk has not said the extent of the fire, such as the number of bays involved or the number of containers. The ship has a capacity for 19,000 TEU, although heading east toward Asia, the load could be smaller or include a significant number of empties. The company reports it is “in close contact with all customers who have cargo on board.” It said it is, wherever possible and known, giving customers an indication whether their cargo was likely impacted by the fire or not. At 213,971 dwt and 1,039 feet (399 meters) in length, the vessel is one of the largest in the Maersk fleet. A limited number of ports on the west coast of Africa are equipped to handle the largest containerships. The current reported position puts the vessel off southern Liberia. Multiple vessels, however, are also passing the location due to the number of ships diverting around Africa due to the closure of the Red Sea. Maersk has reported that the crew is safe. The vessel, which was built in 2013 and is registered in Denmark, is said to be in stable condition, with all machinery, steering, and navigational equipment fully operational.",Maritime Executive,23/08/2025 14:06:58
